Ball,The ball rolled across the floor.,Kids,Easy
Sun,The sun is shining brightly today.,Kids,Easy
Bird,The bird is flying in the sky.,Kids,Easy
Tree,The tree has green leaves.,Kids,Easy
Book,She is reading a storybook.,Kids,Easy
Fish,The fish swims in the small pond.,Kids,Easy
Apple,She ate a red apple.,Kids,Easy
Car,The toy car is very small.,Kids,Easy
Rabbit,The rabbit hopped quickly.,Kids,Easy
Flower,The flower smells very nice.,Kids,Easy
Chair,The little chair is blue.,Kids,Easy
Balloon,The balloon floated upward.,Kids,Easy
Pencil,He dropped his pencil.,Kids,Easy
Rainbow,A rainbow appeared after the rain.,Kids,Easy
Cookie,She baked a tasty cookie.,Kids,Easy
Puzzle,The puzzle is easy to solve.,Kids,Easy
Train,The toy train goes chug chug.,Kids,Easy
Star,The star shines at night.,Kids,Easy
Water,The glass is full of water.,Kids,Easy
Doll,The doll has a pink dress.,Kids,Easy
Kite,The kite is flying high.,Kids,Easy
Milk,She drank a glass of milk.,Kids,Easy
Clock,The clock shows the right time.,Kids,Easy
Farm,The farm has many animals.,Kids,Easy
Garden,The garden is full of plants.,Kids,Easy
Monkey,The monkey is climbing the tree.,Kids,Easy
Shell,She found a shell on the beach.,Kids,Easy
Cup,The cup is on the table.,Kids,Easy
Birdhouse,The birdhouse is wooden.,Kids,Easy
Snow,The snow is soft and white.,Kids,Easy
Castle,The sand castle looks beautiful.,Kids,Easy
Ballpit,Kids love playing in the ballpit.,Kids,Easy
Drum,He is playing a small drum.,Kids,Easy
Basket,The fruit basket is full.,Kids,Easy
Bridge,The small bridge crosses the stream.,Kids,Easy
Turtle,The turtle moves slowly.,Kids,Easy
Swing,The swing goes back and forth.,Kids,Easy
Icecream,She dropped her ice cream.,Kids,Easy
Lamp,The lamp glows softly.,Kids,Easy
Shoes,Her shoes light up when she walks.,Kids,Easy

School,My school starts at eight each morning.,Teens,Medium
Music,I enjoy listening to relaxing music.,Teens,Medium
Sports,Teens often play different sports after school.,Teens,Medium
Internet,The internet helps me with my homework.,Teens,Medium
Project,I submitted my science project today.,Teens,Medium
Friends,My friends and I walked home together.,Teens,Medium
Phone,I use my phone to chat with classmates.,Teens,Medium
Game,The new video game is exciting.,Teens,Medium
Library,The school library has many books.,Teens,Medium
Schedule,My schedule is packed this week.,Teens,Medium
Exam,We are preparing for our final exam.,Teens,Medium
Practice,I practice coding every evening.,Teens,Medium
Homework,I finished my homework early.,Teens,Medium
Fitness,We do fitness activities at school.,Teens,Medium
Social,Social media helps us connect.,Teens,Medium
Learning,Learning new skills is fun.,Teens,Medium
Travel,Many teens dream of traveling abroad.,Teens,Medium
Workshop,Our school arranged a workshop today.,Teens,Medium
Mentor,I spoke to my mentor about career options.,Teens,Medium
Competition,I won second place in the competition.,Teens,Medium
Classroom,Our classroom has a smart board.,Teens,Medium
Activity,The activity was challenging but fun.,Teens,Medium
Budget,I need to plan my monthly budget.,Teens,Medium
Balance,Maintaining study-life balance is important.,Teens,Medium
Teamwork,Teamwork helps us finish tasks faster.,Teens,Medium
Community,Our community event was successful.,Teens,Medium
Festival,The festival was colorful and lively.,Teens,Medium
Talent,She showcased her talent on stage.,Teens,Medium
Confidence,Confidence grows with practice.,Teens,Medium
Goal,My goal is to improve every day.,Teens,Medium

Technology,Technology is reshaping every industry.,Adults,Hard
Economy,The global economy faces new challenges.,Adults,Hard
Research,The research findings were published recently.,Adults,Hard
Responsibility,Every adult manages various responsibilities.,Adults,Hard
Community,Active community participation is essential.,Adults,Hard
Sustainability,Sustainability requires long-term commitment.,Adults,Hard
Productivity,Productivity increases with proper planning.,Adults,Hard
Innovation,Innovation drives economic growth.,Adults,Hard
Healthcare,Healthcare systems are evolving rapidly.,Adults,Hard
Education,Education reforms aim to improve quality.,Adults,Hard
Workplace,The workplace environment affects performance.,Adults,Hard
Entrepreneurship,Entrepreneurship requires creativity and risk-taking.,Adults,Hard
Leadership,Strong leadership creates positive change.,Adults,Hard
Negotiation,Negotiation skills are valuable in business.,Adults,Hard
Collaboration,Collaboration boosts team efficiency.,Adults,Hard
Policy,Policy changes impact national development.,Adults,Hard
Strategy,A good strategy ensures long-term success.,Adults,Hard
Infrastructure,Modern infrastructure improves connectivity.,Adults,Hard
Economics,Economics helps us understand markets.,Adults,Hard
Development,Sustainable development benefits future generations.,Adults,Hard
Investment,Investment decisions require careful analysis.,Adults,Hard
Environment,Protecting the environment is a shared duty.,Adults,Hard
Culture,Culture influences our lifestyle and values.,Adults,Hard
Management,Management skills improve workplace productivity.,Adults,Hard
Security,Cyber security threats are increasing.,Adults,Hard
Data,Data plays a crucial role in modern industries.,Adults,Hard
Networking,Professional networking helps career growth.,Adults,Hard
Diplomacy,Diplomacy maintains peaceful relations.,Adults,Hard
Analysis,Data analysis supports better decision-making.,Adults,Hard
Sociology,Sociology studies human behavior.,Adults,Hard
